Estelionato; Janeiro; 19; 68
Apreensão de Drogas; Janeiro; 19; 10
Tráfico de Drogas; Janeiro; 19; 6
Registro de Ocorrências; Janeiro; 19; 636
Homicídio Doloso; Janeiro; 20; 0
Latrocínio; Janeiro; 20; 0
Homicídio por intervenção policial; Janeiro; 20; 1
Letalidade Violenta; Janeiro; 20; 1
Estupro; Janeiro; 20; 1
Roubos; Janeiro; 20; 143
Furtos; Janeiro; 20; 249
Sequestro; Janeiro; 20; 0
Estelionato; Janeiro; 20; 61
Apreensão de Drogas; Janeiro; 20; 9
Tráfico de Drogas; Janeiro; 20; 0
Registro de Ocorrências; Janeiro; 20; 712
Homicídio Doloso; Janeiro; 21; 10
Latrocínio; Janeiro; 21; 0
Homicídio por intervenção policial; Janeiro; 21; 5
Letalidade Violenta; Janeiro; 21; 16
Estupro; Janeiro; 21; 1
Roubos; Janeiro; 21; 428
Furtos; Janeiro; 21; 216
Sequestro; Janeiro; 21; 0
Estelionato; Janeiro; 21; 61
Apreensão de Drogas; Janeiro; 21; 9
Tráfico de Drogas; Janeiro; 21; 3
Registro de Ocorrências; Janeiro; 21; 1342
Homicídio Doloso; Janeiro; 22; 4
Latrocínio; Janeiro; 22; 0
Homicídio por intervenção policial; Janeiro; 22; 0
Letalidade Violenta; Janeiro; 22; 4
Estupro; Janeiro; 22; 2
Roubos; Janeiro; 22; 186
Furtos; Janeiro; 22; 85
Sequestro; Janeiro; 22; 0
Estelionato; Janeiro; 22; 41
Apreensão de Drogas; Janeiro; 22; 6
Tráfico de Drogas; Janeiro; 22; 6
Registro de Ocorrências; Janeiro; 22; 595
Homicídio Doloso; Janeiro; 23; 1
Latrocínio; Janeiro; 23; 1
Homicídio por intervenção policial; Janeiro; 23; 0
Letalidade Violenta; Janeiro; 23; 2
Estupro; Janeiro; 23; 1
Roubos; Janeiro; 23; 183
Furtos; Janeiro; 23; 198
Sequestro; Janeiro; 23; 0
Estelionato; Janeiro; 23; 50
Apreensão de Drogas; Janeiro; 23; 2
Tráfico de Drogas; Janeiro; 23; 1
Registro de Ocorrências; Janeiro; 23; 630
Homicídio Doloso; Janeiro; 24; 1
Latrocínio; Janeiro; 24; 0
Homicídio por intervenção policial; Janeiro; 24; 1
Letalidade Violenta; Janeiro; 24; 2
Estupro; Janeiro; 24; 1
Roubos; Janeiro; 24; 217
Furtos; Janeiro; 24; 60
Sequestro; Janeiro; 24; 0
Estelionato; Janeiro; 24; 21
Apreensão de Drogas; Janeiro; 24; 1
Tráfico de Drogas; Janeiro; 24; 1
Registro de Ocorrências; Janeiro; 24; 444
Homicídio Doloso; Janeiro; 25; 0
Latrocínio; Janeiro; 25; 0
Homicídio por intervenção policial; Janeiro; 25; 4
Letalidade Violenta; Janeiro; 25; 4
Estupro; Janeiro; 25; 1
Roubos; Janeiro; 25; 265
Furtos; Janeiro; 25; 108
Sequestro; Janeiro; 25; 0
Estelionato; Janeiro; 25; 20
Apreensão de Drogas; Janeiro; 25; 9
Tráfico de Drogas; Janeiro; 25; 6
Registro de Ocorrências; Janeiro; 25; 574
Homicídio Doloso; Janeiro; 26; 2
Latrocínio; Janeiro; 26; 0
Homicídio por intervenção policial; Janeiro; 26; 0
Letalidade Violenta; Janeiro; 26; 2
Estupro; Janeiro; 26; 2
Roubos; Janeiro; 26; 154
Furtos; Janeiro; 26; 133
Sequestro; Janeiro; 26; 0
Estelionato; Janeiro; 26; 49
Apreensão de Drogas; Janeiro; 26; 2
Tráfico de Drogas; Janeiro; 26; 2
Registro de Ocorrências; Janeiro; 26; 578
Homicídio Doloso; Janeiro; 27; 2
Latrocínio; Janeiro; 27; 0
Homicídio por intervenção policial; Janeiro; 27; 2
Letalidade Violenta; Janeiro; 27; 4
Estupro; Janeiro; 27; 2
Roubos; Janeiro; 27; 329
Furtos; Janeiro; 27; 152
Sequestro; Janeiro; 27; 0
Estelionato; Janeiro; 27; 52
Apreensão de Drogas; Janeiro; 27; 2
Tráfico de Drogas; Janeiro; 27; 2
Registro de Ocorrências; Janeiro; 27; 923
Homicídio Doloso; Janeiro; 28; 0
Latrocínio; Janeiro; 28; 0
Homicídio por intervenção policial; Janeiro; 28; 1
Letalidade Violenta; Janeiro; 28; 1
Estupro; Janeiro; 28; 3
Roubos; Janeiro; 28; 93
Furtos; Janeiro; 28; 64
Sequestro; Janeiro; 28; 0
Estelionato; Janeiro; 28; 23
Apreensão de Drogas; Janeiro; 28; 0
Tráfico de Drogas; Janeiro; 28; 0
Registro de Ocorrências; Janeiro; 28; 323
Homicídio Doloso; Janeiro; 29; 1
Latrocínio; Janeiro; 29; 0
Homicídio por intervenção policial; Janeiro; 29; 3
Letalidade Violenta; Janeiro; 29; 4
Estupro; Janeiro; 29; 2
Roubos; Janeiro; 29; 415
Furtos; Janeiro; 29; 287
Sequestro; Janeiro; 29; 0
Estelionato; Janeiro; 29; 62
Apreensão de Drogas; Janeiro; 29; 1
Tráfico de Drogas; Janeiro; 29; 1
Registro de Ocorrências; Janeiro; 29; 1108
Homicídio Doloso; Janeiro; 30; 0
Latrocínio; Janeiro; 30; 0
Homicídio por intervenção policial; Janeiro; 30; 1
Letalidade Violenta; Janeiro; 30; 1
Estupro; Janeiro; 30; 2
Roubos; Janeiro; 30; 152
Furtos; Janeiro; 30; 80
Sequestro; Janeiro; 30; 0
Estelionato; Janeiro; 30; 51
Apreensão de Drogas; Janeiro; 30; 4
Tráfico de Drogas; Janeiro; 30; 4
Registro de Ocorrências; Janeiro; 30; 547
Homicídio Doloso; Janeiro; 31; 5
